username,total_posts,total_views,political_posts,electoral_posts,military_posts,economy_posts,religion_posts,international_posts,political_views,electoral_views,military_views,economy_views,religion_views,international_views
Alahly29,38,75038,0,0,0,0,0,0,0,0,0,0,0,0
AlanMamiati,58,644580,1,0,0,0,0,0,17200,0,0,0,0,0
AlaniaDaily,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AlaviShahed,34,23940,0,0,0,0,0,0,0,0,0,0,0,0
Alberto_Rodriguez,4,579,0,0,0,0,0,0,0,0,0,0,0,0
AlbinaDzhanabaevaOfficial,6,24590,0,0,0,0,0,0,0,0,0,0,0,0
AlborzChannel,2,2470,0,0,0,0,0,0,0,0,0,0,0,0
Alekhin_Telega,76,1771951,4,0,0,1,0,0,63390,0,0,29300,0,0
AleksBessonov,25,462780,1,0,0,0,0,0,11100,0,0,0,0,0
Aleksa_Daycheva,7,83980,0,0,0,0,0,0,0,0,0,0,0,0
AleksandrBobylev,19,62065,0,0,0,0,0,0,0,0,0,0,0,0
AleksandrSemchenko,4699,281816478,55,0,0,15,46,1,3330100,0,0,997800,2722700,64800
AleksandraStepanova95,32,229560,0,0,0,0,0,0,0,0,0,0,0,0
AlekseevDNS,23,566539,0,0,0,0,0,0,0,0,0,0,0,0
AlekseyMukhin,20,31806,0,0,0,1,0,0,0,0,0,717,0,0
AlenaFMG,27,17845,0,0,0,0,0,0,0,0,0,0,0,0
Aleshkovski,2,8130,0,0,0,0,0,0,0,0,0,0,0,0
AlexCarrier,20,962200,0,0,0,0,0,0,0,0,0,0,0,0
AlexWeakly,21,1866,0,0,0,0,0,0,0,0,0,0,0,0
AlexanderEmelianenko,56,377761,0,0,0,0,0,0,0,0,0,0,0,0
Alexander_Nevzorov_m,23,174,0,0,0,0,0,0,0,0,0,0,0,0
AlexeiVoron,10,9139,0,0,0,0,0,0,0,0,0,0,0,0
AlexeyErlikh,2,3820,0,0,0,0,0,0,0,0,0,0,0,0
AlexeyZhuravko,28,410470,0,0,0,0,3,0,0,0,0,0,23750,0
Alferovayulya,10,2507,0,0,0,0,0,0,0,0,0,0,0,0
AlfredKoh_1,38,126060,11,0,0,2,0,0,38730,0,0,8140,0,0
AliEgamberdiyev,25,236,0,0,0,0,0,0,0,0,0,0,0,0
AliRahmon2020,3,2103,0,0,0,0,0,0,0,0,0,0,0,0
Ali_Nikzad_samarein,30,2137,0,0,0,0,0,0,0,0,0,0,0,0
Alimofflive,20,79010,0,0,0,0,0,0,0,0,0,0,0,0
AllesAusserMainstream,997,14638388,0,0,0,0,0,0,0,0,0,0,0,0
AlmaneNazi,31,197935,0,0,0,0,0,0,0,0,0,0,0,0
AloyaVeraClub,38,1080720,0,0,0,0,0,0,0,0,0,0,0,0
Alqodsona,1,17,0,0,0,0,0,0,0,0,0,0,0,0
AltSkull48,25,90910,0,0,0,0,0,0,0,0,0,0,0,0
Alviseperez,736,110742800,0,0,0,0,0,0,0,0,0,0,0,0
AmRenOfficial,30,102477,0,0,0,0,0,0,0,0,0,0,0,0
AmanatAtok,15,26690,0,0,0,0,0,0,0,0,0,0,0,0
